username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
supagroover,6,0,16,0,0
Shinju,2,0,0,1,18
nikolay,1,0,1,0,0
krem,1,0,0,0,5
sonbon,2,0,0,1,1
IzzyBella,18,0,4,0,1
euph0nix,4,0,0,0,1
artnouveau,1,0,14,0,3
trilla,4,0,10,11,9
viruz,4,0,9,1,7
RMPG,4,0,27,0,0
scampjke,3,0,0,0,3
Nadine1,13,0,2,0,11
dmarsden49,6,0,9,1,3
fionamb83,8,0,2,1,1
darchik,3,0,6,0,0
alexsupra,1,0,3,2,0
aagd,3,0,11,0,0
musicandlights,18,0,0,1,2
discoveryukraine,3,0,9,0,0
Bash,0,0,7,0,1
annagoss,1,0,28,0,0
lexlex,2,0,14,0,2
ahmed,2,0,1,0,1
greydation,5,0,2,0,0
deelist,0,0,2,0,0
neversleepagain,0,0,11,0,2
Milton_WotFM,4,0,0,1,5
alexforte,3,0,11,1,1
stephgallia,5,0,21,0,18
MTZHOE,1,0,0,3,1
soulfoods,1,0,3,1,0
BrockStrongo,2,0,24,0,0
helenbot,17,0,22,0,12
towerofbabel,2,0,0,1,7
GMDaly,1,0,20,0,0
preedy,1,0,0,0,1
themolov,7,0,38,0,1
RuffneckRecords,0,0,7,0,1
designatedave,4,0,2,0,3
Charly_C,1,0,0,0,3
geoffrey,1,0,12,0,1
DarrenTheBarber,4,0,6,0,1
BLowe,7,0,1,2,5
bethhope,2,0,17,4,13
andymadge,1,0,0,2,2
molusk77,0,0,12,0,0
PARADOX,2,0,16,1,4
eellson,1,0,10,2,3
eLzumO,1,0,0,0,9
tnttgn,1,0,1,16,25
DJSteveLove,1,0,4,0,0
oemebamo,0,0,18,1,0
bpfirrman,0,0,2,0,0
Majutsujin,1,0,0,0,1
alDrummond,1,0,4,1,2
clubsessions,1,0,2,0,0
waldo555,9,0,8,0,2
clockworkowl,1,0,0,4,2
goldenmassey,1,0,49,0,0
phuturistik,6,0,1,2,17
josecunyat,6,0,8,1,30
bongologic,2,0,1,6,3
a_a,10,0,32,0,5
OJ,0,0,2,0,0
alexandru,2,0,20,0,0
roldan10,2,0,1,2,2
lulu_e,1,0,1,0,0
mixaka,1,0,0,0,0
